item_id,transaction_id,product_id,quantity,unit_price,subtotal
81,1025,32,2,165,330
82,1026,37,1,50,50
83,1026,40,1,26,26
84,1026,31,4,190,760
85,1026,16,3,30,90
86,1026,38,4,44,176
87,1026,27,4,45,180
88,1027,7,2,95,190
89,1027,4,5,55,275
90,1027,26,4,50,200
91,1027,22,2,48,96
92,1027,40,4,26,104
93,1027,16,2,30,60
94,1028,30,5,115,575
95,1028,16,1,30,30
96,1028,5,1,22,22
97,1029,35,4,72,288
98,1029,1,2,260,520
99,1029,6,4,58,232
100,1029,16,1,30,30
101,1029,11,2,9,18
102,1029,27,4,45,180
103,1030,25,4,20,80
104,1031,28,2,25,50
105,1031,36,3,9,27
106,1031,32,2,165,330
107,1032,38,1,44,44
108,1033,21,1,40,40
109,1033,4,5,55,275
110,1033,39,1,14,14
111,1033,31,2,190,380
112,1033,33,1,78,78
113,1033,34,5,3,15
114,1034,16,1,30,30
115,1035,16,4,30,120
116,1035,38,5,44,220
117,1035,39,5,14,70
118,1035,3,2,1550,3100
119,1035,40,3,26,78
120,1036,21,4,40,160
121,1036,16,2,30,60
122,1037,20,5,78,390
123,1037,30,1,115,115
124,1037,21,1,40,40
125,1037,5,5,22,110
126,1037,1,2,260,520
127,1037,39,5,14,70
128,1038,9,3,75,225
129,1038,23,3,18,54
130,1038,5,2,22,44
131,1039,35,5,72,360
132,1039,20,3,78,234
133,1039,40,1,26,26
134,1039,34,2,3,6
135,1040,8,3,27,81
136,1040,7,3,95,285
137,1040,36,5,9,45
138,1041,17,3,42,126
139,1041,33,1,78,78
140,1042,28,1,25,25
141,1043,22,3,48,144
142,1044,29,1,240,240
143,1044,36,1,9,9
144,1045,10,1,68,68
145,1046,24,3,92,276
146,1046,38,1,44,44
147,1046,36,3,9,27
148,1046,10,2,68,136
149,1046,28,2,25,50
150,1046,9,1,75,75
151,1046,3,2,1550,3100
152,1047,36,2,9,18
153,1047,27,3,45,135
154,1047,10,4,68,272
155,1047,16,2,30,60
156,1047,11,3,9,27
157,1047,12,2,15,30
158,1047,39,1,14,14
159,1048,3,2,1550,3100
160,1048,31,3,190,570
161,1048,15,2,32,64
162,1048,13,1,780,780
163,1049,13,2,780,1560
164,1050,5,4,22,88
165,1050,18,5,36,180
166,1050,23,3,18,54
167,1051,8,2,27,54
168,1052,17,3,42,126
169,1052,3,2,1550,3100
170,1052,7,5,95,475
171,1052,39,5,14,70
172,1052,28,1,25,25
173,1053,37,1,50,50
174,1053,13,1,780,780
175,1053,17,3,42,126
176,1053,3,2,1550,3100
177,1054,22,3,48,144
178,1055,8,5,27,135
179,1055,20,2,78,156
180,1055,33,2,78,156
181,1055,39,4,14,56
182,1055,27,4,45,180
183,1055,21,2,40,80
184,1055,26,5,50,250
185,1056,20,4,78,312
186,1056,26,5,50,250
187,1056,36,5,9,45
188,1056,1,3,260,780
189,1056,19,4,30,120
190,1057,29,1,240,240
191,1057,14,3,40,120
192,1057,33,5,78,390
193,1057,31,5,190,950
194,1058,6,2,58,116
195,1058,16,2,30,60
196,1058,20,1,78,78
197,1059,16,5,30,150
198,1060,5,2,22,44
199,1060,30,2,115,230
200,1060,27,1,45,45
201,1060,37,1,50,50
202,1060,13,2,780,1560
203,1060,25,2,20,40
204,1060,32,2,165,330
205,1061,34,4,3,12
206,1061,30,5,115,575
207,1061,4,5,55,275
208,1061,36,5,9,45
209,1061,16,3,30,90
210,1061,8,4,27,108
211,1061,39,5,14,70
212,1062,33,2,78,156
213,1062,28,3,25,75
214,1062,36,5,9,45
215,1062,29,2,240,480
216,1062,11,2,9,18
217,1062,31,3,190,570
218,1062,37,4,50,200
219,1063,19,3,30,90
220,1064,21,2,40,80
221,1064,35,2,72,144
222,1064,6,4,58,232
223,1065,10,4,68,272
224,1065,14,4,40,160
225,1065,5,1,22,22
226,1065,27,2,45,90
227,1065,37,4,50,200
228,1065,22,4,48,192
229,1066,38,4,44,176
230,1066,2,4,320,1280
231,1066,37,5,50,250
232,1066,25,5,20,100
233,1066,31,5,190,950
234,1066,1,2,260,520
235,1066,23,4,18,72
236,1067,18,1,36,36
237,1067,28,4,25,100
238,1068,26,5,50,250
239,1068,11,5,9,45
240,1068,30,1,115,115
241,1068,9,1,75,75
242,1068,35,4,72,288
243,1068,2,2,320,640
244,1069,30,3,115,345
245,1069,12,3,15,45
246,1069,4,4,55,220
247,1069,17,3,42,126
248,1069,25,4,20,80
249,1069,21,3,40,120
250,1069,14,1,40,40
251,1070,2,1,320,320
252,1070,35,1,72,72
253,1070,4,1,55,55
254,1070,23,2,18,36
255,1071,2,2,320,640
256,1071,40,2,26,52
257,1072,8,3,27,81
258,1072,37,2,50,100
259,1072,14,5,40,200
260,1072,30,5,115,575
261,1073,8,4,27,108
262,1073,11,4,9,36
263,1073,20,2,78,156
264,1073,7,1,95,95
265,1073,2,5,320,1600
266,1073,38,2,44,88
267,1074,20,1,78,78
268,1075,37,3,50,150
269,1075,3,1,1550,1550
270,1075,23,4,18,72
271,1075,35,4,72,288
272,1075,28,1,25,25
273,1075,24,4,92,368
274,1075,5,3,22,66
275,1076,30,5,115,575
276,1076,10,4,68,272
277,1076,28,4,25,100
278,1076,12,4,15,60
279,1076,34,5,3,15
280,1076,18,3,36,108
281,1077,16,2,30,60
282,1077,6,4,58,232
283,1077,18,5,36,180
284,1078,25,2,20,40
285,1078,22,3,48,144
286,1078,2,3,320,960
287,1078,32,3,165,495
288,1078,21,3,40,120
289,1078,12,5,15,75
290,1079,18,4,36,144
291,1079,36,4,9,36
292,1079,1,5,260,1300
293,1079,34,2,3,6
294,1079,13,2,780,1560
295,1079,6,4,58,232
296,1080,2,2,320,640
297,1080,6,3,58,174
298,1080,19,5,30,150
299,1080,15,3,32,96
300,1081,36,3,9,27
301,1081,34,3,3,9
302,1081,23,4,18,72
303,1081,28,3,25,75
304,1082,17,3,42,126
305,1082,15,1,32,32
306,1082,8,5,27,135
307,1083,12,2,15,30
308,1083,13,2,780,1560
309,1083,14,2,40,80
310,1083,31,3,190,570
311,1083,18,2,36,72
312,1083,34,3,3,9
313,1083,19,1,30,30
314,1084,35,4,72,288
315,1084,9,1,75,75
316,1084,18,1,36,36
317,1084,3,2,1550,3100
318,1084,4,4,55,220
319,1084,19,4,30,120
320,1085,22,1,48,48
321,1085,12,1,15,15
322,1085,4,4,55,220
323,1085,17,4,42,168
324,1086,37,2,50,100
325,1087,37,2,50,100
326,1087,20,1,78,78
327,1088,27,4,45,180
328,1088,39,4,14,56
329,1088,40,3,26,78
330,1088,15,5,32,160
331,1088,34,4,3,12
332,1089,37,1,50,50
333,1089,40,2,26,52
334,1089,4,2,55,110
335,1090,6,1,58,58
336,1090,11,4,9,36
337,1090,16,4,30,120
338,1090,12,5,15,75
339,1090,36,4,9,36
340,1090,5,3,22,66
341,1091,15,3,32,96
342,1092,30,5,115,575
343,1092,5,2,22,44
344,1092,15,2,32,64
345,1092,17,3,42,126
346,1092,13,1,780,780
347,1092,28,1,25,25
348,1093,11,5,9,45
349,1094,37,3,50,150
350,1094,19,5,30,150
351,1094,29,2,240,480
352,1094,8,4,27,108
353,1094,30,1,115,115
354,1094,20,5,78,390
355,1095,28,5,25,125
356,1096,2,5,320,1600
357,1096,6,1,58,58
358,1096,15,3,32,96
359,1097,3,1,1550,1550
360,1097,12,5,15,75
361,1097,31,4,190,760
362,1097,34,4,3,12
363,1097,29,1,240,240
364,1098,23,2,18,36
365,1098,27,3,45,135
366,1098,22,4,48,192
367,1098,21,4,40,160
368,1099,26,1,50,50
369,1099,36,3,9,27
370,1099,3,2,1550,3100
371,1100,26,1,50,50
372,1101,35,5,72,360
373,1101,30,4,115,460
374,1101,27,4,45,180
375,1101,4,1,55,55
376,1101,13,1,780,780
377,1101,34,3,3,9
378,1102,9,5,75,375
379,1102,19,2,30,60
380,1102,29,1,240,240
381,1102,32,3,165,495
382,1102,8,5,27,135
383,1103,36,1,9,9
384,1104,8,2,27,54
385,1104,30,4,115,460
386,1105,19,4,30,120
387,1105,33,5,78,390
388,1105,18,2,36,72
389,1105,27,4,45,180
390,1105,31,2,190,380
391,1105,36,5,9,45
392,1106,9,3,75,225
393,1106,5,1,22,22
394,1106,18,3,36,108
395,1106,27,3,45,135
396,1106,22,5,48,240
397,1107,32,3,165,495
398,1107,10,5,68,340
399,1107,29,2,240,480
400,1107,35,4,72,288
401,1107,31,3,190,570
402,1108,13,2,780,1560
403,1108,16,4,30,120
404,1108,37,4,50,200
405,1108,25,2,20,40
406,1108,15,4,32,128
407,1108,27,1,45,45
408,1108,3,1,1550,1550
409,1109,38,1,44,44
410,1109,22,2,48,96
411,1109,7,4,95,380
412,1109,29,1,240,240
413,1109,34,1,3,3
414,1110,40,5,26,130
415,1110,26,4,50,200
416,1110,6,3,58,174
417,1111,32,1,165,165
418,1111,35,4,72,288
419,1111,3,1,1550,1550
420,1111,5,1,22,22
421,1111,16,4,30,120
422,1111,19,2,30,60
423,1112,20,3,78,234
424,1112,2,4,320,1280
425,1112,3,1,1550,1550
426,1112,21,2,40,80
427,1112,4,5,55,275
428,1112,19,4,30,120
429,1113,12,2,15,30
430,1113,11,4,9,36
431,1113,6,5,58,290
432,1113,40,2,26,52
433,1113,25,2,20,40
434,1114,17,2,42,84
435,1114,30,1,115,115
436,1114,1,4,260,1040
437,1114,19,3,30,90
438,1115,20,4,78,312
439,1115,28,1,25,25
440,1115,17,2,42,84
441,1115,30,4,115,460
442,1115,13,2,780,1560
443,1116,19,1,30,30
444,1116,2,5,320,1600
445,1116,26,4,50,200
446,1116,18,3,36,108
447,1116,1,2,260,520
448,1117,23,1,18,18
449,1117,15,1,32,32
450,1117,13,2,780,1560
451,1117,40,4,26,104
452,1117,17,1,42,42
453,1118,24,2,92,184
454,1118,9,2,75,150
455,1118,6,2,58,116
456,1118,19,5,30,150
457,1118,21,3,40,120
458,1119,33,3,78,234
459,1119,18,1,36,36
460,1119,11,4,9,36
461,1119,17,1,42,42
462,1119,31,2,190,380
463,1120,15,5,32,160
464,1120,26,1,50,50
465,1120,36,4,9,36
466,1120,24,3,92,276
467,1120,6,3,58,174
468,1120,39,5,14,70
469,1120,1,4,260,1040
470,1121,24,4,92,368
471,1121,7,3,95,285
472,1121,15,4,32,128
473,1121,31,1,190,190
474,1121,2,2,320,640
475,1121,21,1,40,40
476,1121,38,1,44,44
477,1122,32,5,165,825
478,1122,8,2,27,54
479,1122,7,4,95,380
480,1123,24,4,92,368
481,1123,35,1,72,72
482,1123,27,4,45,180
483,1123,38,5,44,220
484,1124,18,4,36,144
485,1124,3,1,1550,1550
486,1124,24,3,92,276
487,1124,14,1,40,40
488,1125,24,1,92,92
489,1125,35,4,72,288
490,1125,23,1,18,18
491,1125,4,2,55,110
492,1125,26,5,50,250
493,1125,18,1,36,36
494,1126,9,1,75,75
495,1126,37,5,50,250
496,1127,38,3,44,132
497,1127,14,2,40,80
498,1128,39,1,14,14
499,1128,1,1,260,260
500,1128,18,2,36,72
501,1128,10,1,68,68
502,1128,9,3,75,225
503,1128,35,2,72,144
504,1128,17,5,42,210
505,1129,2,2,320,640
506,1129,12,4,15,60
507,1129,17,5,42,210
508,1130,5,4,22,88
509,1131,24,1,92,92
510,1131,33,5,78,390
511,1131,38,3,44,132
512,1131,7,4,95,380
513,1131,29,1,240,240
514,1131,39,1,14,14
515,1131,15,4,32,128
516,1132,26,5,50,250
517,1132,28,2,25,50
518,1132,7,1,95,95
519,1132,32,2,165,330
520,1132,29,2,240,480
521,1132,5,5,22,110
522,1132,6,5,58,290
523,1133,21,5,40,200
524,1133,25,5,20,100
525,1133,39,4,14,56
526,1133,34,1,3,3
527,1133,19,1,30,30
528,1134,36,4,9,36
529,1134,14,4,40,160
530,1134,28,1,25,25
531,1134,29,2,240,480
532,1134,15,4,32,128
533,1134,27,3,45,135
534,1134,22,3,48,144
535,1135,10,1,68,68
536,1135,31,1,190,190
537,1135,5,4,22,88
538,1136,24,5,92,460
539,1137,38,5,44,220
540,1138,8,1,27,27
541,1138,27,3,45,135
542,1138,23,5,18,90
543,1139,7,2,95,190
544,1139,37,4,50,200
545,1139,33,2,78,156
546,1140,7,5,95,475
547,1140,23,5,18,90
548,1140,36,5,9,45
549,1140,24,5,92,460
550,1140,8,1,27,27
551,1140,18,5,36,180
552,1140,15,3,32,96
553,1141,12,3,15,45
554,1142,23,5,18,90
555,1142,1,4,260,1040
556,1142,12,1,15,15
557,1143,2,2,320,640
558,1143,6,4,58,232
559,1144,30,3,115,345
560,1144,22,5,48,240
561,1144,11,5,9,45
562,1144,24,1,92,92
563,1145,10,5,68,340
564,1146,6,4,58,232
565,1147,28,1,25,25
566,1147,32,3,165,495
567,1147,29,2,240,480
568,1147,27,1,45,45
569,1147,18,3,36,108
570,1147,14,5,40,200
571,1148,34,5,3,15
572,1148,20,1,78,78
573,1148,3,1,1550,1550
574,1148,15,2,32,64
575,1149,9,3,75,225
576,1149,17,1,42,42
577,1150,32,2,165,330
578,1151,25,5,20,100
579,1151,35,5,72,360
580,1152,23,3,18,54
581,1152,5,5,22,110
582,1152,26,4,50,200
583,1152,3,2,1550,3100
584,1152,28,4,25,100
585,1152,2,3,320,960
586,1152,30,1,115,115
587,1153,2,3,320,960
588,1153,21,1,40,40
589,1153,11,4,9,36
590,1153,40,1,26,26
591,1154,28,5,25,125
592,1154,38,1,44,44
593,1155,20,5,78,390
594,1155,22,1,48,48
595,1155,15,5,32,160
596,1155,11,5,9,45
597,1156,23,1,18,18
598,1156,10,2,68,136
599,1157,13,1,780,780
600,1157,12,2,15,30
601,1157,39,4,14,56
602,1158,37,3,50,150
603,1158,38,2,44,88
604,1158,29,2,240,480
605,1158,40,1,26,26
606,1159,20,3,78,234
607,1159,18,4,36,144
608,1159,38,4,44,176
609,1159,4,1,55,55
610,1159,23,1,18,18
611,1159,33,3,78,234
612,1160,19,5,30,150
613,1160,5,2,22,44
614,1160,6,3,58,174
615,1160,33,5,78,390
616,1160,25,4,20,80
617,1160,30,5,115,575
618,1160,3,1,1550,1550
619,1161,29,2,240,480
620,1162,6,5,58,290
621,1162,33,5,78,390
622,1162,12,5,15,75
623,1162,3,1,1550,1550
624,1162,16,3,30,90
625,1162,29,2,240,480
626,1163,25,1,20,20
627,1163,27,3,45,135
628,1163,22,1,48,48
629,1164,7,3,95,285
630,1164,36,5,9,45
631,1164,25,2,20,40
632,1165,6,3,58,174
633,1165,38,4,44,176
634,1165,10,2,68,136
635,1166,6,5,58,290
636,1166,20,1,78,78
637,1166,36,4,9,36
638,1166,25,5,20,100
639,1166,22,3,48,144
640,1167,24,2,92,184
641,1168,22,2,48,96
642,1168,32,2,165,330
643,1169,5,5,22,110
644,1169,19,5,30,150
645,1170,34,5,3,15
646,1170,3,1,1550,1550
647,1170,22,4,48,192
648,1170,9,1,75,75
649,1170,25,4,20,80
650,1170,10,3,68,204
651,1170,11,2,9,18
652,1171,40,2,26,52
653,1171,19,3,30,90
654,1171,29,2,240,480
655,1171,15,2,32,64
656,1172,37,4,50,200
657,1172,29,2,240,480
658,1172,30,2,115,230
659,1173,13,1,780,780
660,1173,39,5,14,70
661,1173,9,1,75,75
662,1173,17,3,42,126
663,1173,4,1,55,55
664,1173,31,2,190,380
665,1173,24,3,92,276
666,1174,33,4,78,312
667,1174,10,3,68,204
668,1174,28,1,25,25
669,1174,6,4,58,232
670,1175,26,3,50,150
671,1176,25,2,20,40
672,1176,6,1,58,58
673,1177,7,1,95,95
674,1177,22,3,48,144
675,1177,10,4,68,272
676,1178,9,2,75,150
677,1178,31,2,190,380
678,1178,29,2,240,480
679,1178,1,1,260,260
680,1178,6,3,58,174
681,1178,2,2,320,640
682,1179,16,5,30,150
683,1180,5,1,22,22
684,1180,8,5,27,135
685,1180,32,5,165,825
686,1180,39,2,14,28
687,1181,10,4,68,272
688,1181,19,2,30,60
689,1181,28,1,25,25
690,1181,1,5,260,1300
691,1181,23,3,18,54
692,1181,16,1,30,30
693,1182,35,1,72,72
694,1182,33,4,78,312
695,1182,36,3,9,27
696,1182,2,3,320,960
697,1182,25,1,20,20
698,1183,5,5,22,110
699,1183,23,3,18,54
700,1183,16,2,30,60
701,1184,23,3,18,54
702,1185,12,3,15,45
703,1185,30,2,115,230
704,1185,31,1,190,190
705,1185,40,2,26,52
706,1185,9,1,75,75
707,1185,5,3,22,66
708,1185,39,3,14,42
709,1186,26,3,50,150
710,1186,35,3,72,216
711,1186,31,1,190,190
712,1186,17,3,42,126
713,1186,3,2,1550,3100
714,1187,24,4,92,368
715,1188,29,2,240,480
716,1188,25,1,20,20
717,1188,22,4,48,192
718,1188,12,1,15,15
719,1188,32,4,165,660
720,1188,36,5,9,45
721,1189,12,3,15,45
722,1189,35,4,72,288
723,1189,19,5,30,150
724,1189,21,4,40,160
725,1189,7,2,95,190
726,1189,6,4,58,232
727,1189,37,3,50,150
728,1190,3,1,1550,1550
729,1190,23,1,18,18
730,1190,40,4,26,104
731,1190,28,3,25,75
732,1191,11,2,9,18
733,1191,2,1,320,320
734,1191,10,2,68,136
735,1191,39,3,14,42
736,1191,29,2,240,480
737,1192,37,3,50,150
738,1192,3,2,1550,3100
739,1192,39,4,14,56
740,1192,10,1,68,68
741,1193,9,2,75,150
742,1193,34,1,3,3
743,1193,24,1,92,92
744,1193,26,2,50,100
745,1193,21,4,40,160
746,1194,25,5,20,100
747,1194,36,3,9,27
748,1194,8,4,27,108
749,1194,17,2,42,84
750,1194,29,1,240,240
751,1195,12,1,15,15
752,1195,29,2,240,480
753,1195,6,3,58,174
754,1195,21,2,40,80
755,1196,12,2,15,30
756,1196,24,4,92,368
757,1196,33,1,78,78
758,1196,15,3,32,96
759,1196,8,5,27,135
760,1196,13,2,780,1560
761,1197,36,3,9,27
762,1197,9,4,75,300
763,1197,40,4,26,104
764,1197,6,5,58,290
765,1198,27,1,45,45
766,1198,37,4,50,200
767,1198,5,4,22,88
768,1198,9,5,75,375
769,1199,9,2,75,150
770,1199,36,4,9,36
771,1199,38,5,44,220
772,1200,4,2,55,110
773,1200,8,3,27,81
774,1200,34,5,3,15
775,1200,10,3,68,204
776,1200,20,1,78,78
777,1200,11,3,9,27
778,1200,35,2,72,144
779,1201,36,2,9,18
780,1201,18,5,36,180
781,1201,9,5,75,375
782,1201,20,2,78,156
783,1201,35,2,72,144
784,1201,6,5,58,290
785,1202,39,5,14,70
786,1202,22,3,48,144
787,1202,37,2,50,100
788,1202,3,2,1550,3100
789,1202,2,5,320,1600
790,1202,6,1,58,58
791,1203,35,4,72,288
792,1203,19,3,30,90
793,1203,20,4,78,312
794,1203,31,1,190,190
795,1204,4,3,55,165
796,1204,11,5,9,45
797,1204,29,1,240,240
798,1204,27,3,45,135
799,1204,31,3,190,570
800,1204,30,3,115,345
801,1205,9,3,75,225
802,1205,24,2,92,184
803,1205,33,4,78,312
804,1205,36,1,9,9
805,1206,29,1,240,240
806,1206,16,3,30,90
807,1206,10,4,68,272
808,1207,40,4,26,104
809,1207,27,5,45,225
810,1207,16,4,30,120
811,1207,11,4,9,36
812,1207,21,3,40,120
813,1207,36,4,9,36
814,1207,13,1,780,780
815,1208,26,4,50,200
816,1209,14,1,40,40
817,1209,38,1,44,44
818,1210,31,2,190,380
819,1210,19,3,30,90
820,1210,35,3,72,216
821,1210,1,4,260,1040
822,1210,7,3,95,285
823,1211,26,5,50,250
824,1212,13,2,780,1560
825,1212,24,5,92,460
826,1212,36,3,9,27
827,1212,19,5,30,150
828,1212,5,5,22,110
829,1213,9,4,75,300
830,1214,22,2,48,96
831,1214,36,5,9,45
832,1214,24,5,92,460
833,1215,33,5,78,390
834,1215,3,2,1550,3100
835,1215,9,2,75,150
836,1215,22,5,48,240
837,1216,9,3,75,225
838,1216,21,5,40,200
839,1216,40,3,26,78
840,1216,11,5,9,45
841,1216,26,5,50,250
842,1217,32,3,165,495
843,1217,37,1,50,50
844,1217,20,4,78,312
845,1217,31,5,190,950
846,1217,2,3,320,960
847,1218,2,5,320,1600
848,1218,39,5,14,70
849,1218,31,4,190,760
850,1218,17,2,42,84
851,1218,15,2,32,64
852,1218,4,1,55,55
853,1218,38,5,44,220
854,1219,8,4,27,108
855,1219,13,1,780,780
856,1219,2,4,320,1280
857,1219,29,2,240,480
858,1219,21,1,40,40
859,1219,27,2,45,90
860,1220,14,3,40,120
861,1220,36,2,9,18
862,1220,21,4,40,160
863,1220,31,5,190,950
864,1220,34,3,3,9
865,1221,23,3,18,54
866,1221,17,5,42,210
867,1221,40,3,26,78
868,1221,31,2,190,380
869,1221,13,2,780,1560
870,1222,19,1,30,30
871,1222,14,5,40,200
872,1222,32,5,165,825
873,1222,21,4,40,160
874,1222,31,4,190,760
875,1222,23,3,18,54
876,1222,18,2,36,72
877,1223,3,2,1550,3100
878,1223,19,3,30,90
879,1223,6,4,58,232
880,1224,13,2,780,1560
881,1224,35,2,72,144
882,1225,40,2,26,52
883,1226,34,4,3,12
884,1226,15,1,32,32
885,1226,39,2,14,28
886,1226,4,1,55,55
887,1226,7,5,95,475
888,1226,27,2,45,90
889,1227,31,1,190,190
890,1227,13,1,780,780
891,1227,19,5,30,150
892,1227,21,2,40,80
893,1228,3,2,1550,3100
894,1228,12,1,15,15
895,1228,27,1,45,45
896,1228,26,3,50,150
897,1228,32,5,165,825
898,1229,7,4,95,380
899,1229,22,2,48,96
900,1229,19,5,30,150
901,1229,30,4,115,460
902,1229,35,3,72,216
903,1230,8,4,27,108
904,1230,22,3,48,144
905,1231,12,4,15,60
906,1231,1,4,260,1040
907,1231,22,5,48,240
908,1231,19,3,30,90
909,1231,13,1,780,780
910,1231,40,4,26,104
911,1232,7,3,95,285
912,1232,12,4,15,60
913,1232,9,2,75,150
914,1232,31,4,190,760
915,1232,21,3,40,120
916,1232,16,3,30,90
917,1233,38,3,44,132
918,1233,37,2,50,100
919,1233,1,1,260,260
920,1234,8,1,27,27
921,1234,30,3,115,345
922,1234,20,3,78,234
923,1234,11,5,9,45
924,1234,26,2,50,100
925,1234,33,2,78,156
926,1235,31,5,190,950
927,1235,10,3,68,204
928,1236,36,5,9,45
929,1236,31,1,190,190
930,1236,35,5,72,360
931,1236,14,4,40,160
932,1237,24,5,92,460
933,1237,5,2,22,44
934,1237,37,5,50,250
935,1237,8,5,27,135
936,1237,4,2,55,110
937,1238,34,5,3,15
938,1238,29,2,240,480
939,1238,8,1,27,27
940,1239,29,2,240,480
941,1239,4,5,55,275
942,1239,30,1,115,115
943,1239,9,5,75,375
944,1239,33,4,78,312
945,1240,20,1,78,78
946,1240,2,1,320,320
947,1240,26,4,50,200
948,1240,17,3,42,126
949,1240,1,1,260,260
950,1240,14,5,40,200
951,1241,5,1,22,22
952,1242,27,3,45,135
953,1242,12,4,15,60
954,1242,9,4,75,300
955,1243,25,5,20,100
956,1243,40,4,26,104
957,1243,6,5,58,290
958,1243,35,2,72,144
959,1243,9,2,75,150
960,1243,23,1,18,18
961,1243,8,1,27,27
962,1244,30,4,115,460
963,1244,35,2,72,144
964,1244,28,2,25,50
965,1245,23,1,18,18
966,1245,10,4,68,272
967,1245,18,5,36,180
968,1245,13,1,780,780
969,1246,14,5,40,200
970,1246,5,1,22,22
971,1247,4,5,55,275
972,1247,16,2,30,60
973,1247,3,1,1550,1550
974,1247,26,2,50,100
975,1247,29,2,240,480
976,1248,37,5,50,250
977,1248,21,3,40,120
978,1249,20,2,78,156
979,1249,10,4,68,272
980,1250,18,2,36,72
981,1250,4,4,55,220
982,1250,36,5,9,45
983,1251,4,4,55,220
984,1251,23,4,18,72
985,1251,25,2,20,40
986,1251,34,3,3,9
987,1252,12,3,15,45
988,1252,35,2,72,144
989,1252,31,4,190,760
990,1252,16,1,30,30
991,1253,27,3,45,135
992,1253,36,2,9,18
993,1253,34,3,3,9
994,1253,9,1,75,75
995,1253,25,4,20,80
996,1254,24,5,92,460
997,1254,6,1,58,58
998,1254,35,1,72,72
999,1254,13,1,780,780
1000,1254,4,5,55,275
1001,1254,18,5,36,180
1002,1254,25,2,20,40
1003,1255,14,2,40,80
1004,1255,22,1,48,48
1005,1255,20,4,78,312
1006,1255,1,2,260,520
1007,1256,39,4,14,56
1008,1256,14,4,40,160
1009,1256,26,5,50,250
1010,1256,16,3,30,90
1011,1256,36,3,9,27
1012,1256,21,3,40,120
1013,1257,33,4,78,312
1014,1257,32,3,165,495
1015,1257,30,2,115,230
1016,1258,27,2,45,90
1017,1258,3,1,1550,1550
1018,1258,37,3,50,150
1019,1259,38,2,44,88
1020,1259,27,4,45,180
1021,1259,19,5,30,150
1022,1259,10,2,68,136
1023,1259,13,2,780,1560
1024,1260,22,2,48,96
1025,1260,17,2,42,84
1026,1260,32,5,165,825
1027,1260,30,4,115,460
1028,1260,11,2,9,18
1029,1261,4,2,55,110
1030,1261,34,2,3,6
1031,1261,3,1,1550,1550
1032,1261,5,2,22,44
1033,1261,1,1,260,260
1034,1262,33,1,78,78
1035,1262,30,5,115,575
1036,1263,40,4,26,104
1037,1263,31,1,190,190
1038,1263,32,1,165,165
1039,1263,2,5,320,1600
1040,1263,1,3,260,780
1041,1263,35,5,72,360
1042,1264,2,1,320,320
1043,1264,33,1,78,78
1044,1264,28,5,25,125
1045,1265,16,5,30,150
1046,1265,13,2,780,1560
1047,1266,23,2,18,36
1048,1266,18,2,36,72
1049,1266,26,3,50,150
1050,1266,6,1,58,58
1051,1266,24,1,92,92
1052,1266,38,1,44,44
1053,1266,30,4,115,460
1054,1267,25,2,20,40
1055,1267,36,1,9,9
1056,1267,31,4,190,760
1057,1267,4,4,55,220
1058,1268,22,4,48,192
1059,1268,37,3,50,150
1060,1268,7,1,95,95
1061,1268,34,1,3,3
